image_id,x_1,y_1,width,height,class_id
005390.jpg,38,44,62,86,1
005406.jpg,91,2,104,144,1
005458.jpg,69,49,122,169,1
005558.jpg,647,130,242,335,1
005594.jpg,75,80,406,562,1
005608.jpg,74,80,140,194,1
005707.jpg,125,95,156,216,1
005722.jpg,26,37,109,151,1
005799.jpg,711,249,1017,1408,1
005822.jpg,209,164,149,223,1
005851.jpg,225,39,55,76,1
006020.jpg,50,39,75,104,1
006102.jpg,109,23,62,86,1
006107.jpg,622,222,679,940,1
006184.jpg,72,108,172,238,1
006219.jpg,188,310,569,788,1
006236.jpg,179,78,211,292,1
006254.jpg,145,99,359,497,1
006260.jpg,221,48,208,288,1
006386.jpg,82,49,192,266,1
006422.jpg,73,78,107,148,1
006490.jpg,59,79,140,187,1
006511.jpg,54,119,218,302,1
006596.jpg,82,86,250,346,1
006713.jpg,70,48,44,61,1
006764.jpg,341,193,260,360,1
006783.jpg,16,46,88,122,1
006801.jpg,189,76,203,281,1
006825.jpg,48,78,257,356,1
006854.jpg,18,55,192,266,1
006947.jpg,64,52,143,198,1
006949.jpg,143,98,99,137,1
007002.jpg,59,48,148,205,1
007027.jpg,104,46,101,140,1
007032.jpg,66,62,112,155,1
007106.jpg,251,51,291,403,1
007111.jpg,188,48,213,295,1
007119.jpg,182,101,86,119,1
007135.jpg,65,64,161,223,1
007137.jpg,236,18,125,173,1
007145.jpg,18,22,143,191,1
007291.jpg,709,132,174,241,1
007335.jpg,70,82,104,144,1
007357.jpg,193,22,104,144,1
007383.jpg,136,116,211,292,1
007450.jpg,111,49,117,162,1
007484.jpg,151,29,78,108,1
007498.jpg,84,79,226,313,1
007505.jpg,38,85,166,230,1
007538.jpg,63,78,146,202,1
007566.jpg,397,57,190,263,1
007572.jpg,80,67,182,252,1
007573.jpg,112,57,138,191,1
007586.jpg,129,1,289,380,1
007588.jpg,75,54,146,202,1
007609.jpg,138,61,107,148,1
007644.jpg,152,39,187,259,1
007723.jpg,156,119,153,212,1
007725.jpg,129,143,289,400,1
007738.jpg,369,278,257,356,1
007754.jpg,3,51,78,108,1
007875.jpg,28,29,68,94,1
007943.jpg,238,67,117,162,1
008021.jpg,238,59,221,306,1
008038.jpg,39,33,96,133,1
008067.jpg,81,125,317,439,1
008096.jpg,41,25,73,101,1
008126.jpg,251,66,133,184,1
008151.jpg,34,33,107,148,1
008184.jpg,72,51,310,436,1
008185.jpg,134,181,177,245,1
008264.jpg,190,74,120,166,1
008283.jpg,31,84,174,241,1
008294.jpg,173,79,239,331,1
008304.jpg,102,46,146,202,1
008343.jpg,145,62,130,180,1
008412.jpg,94,49,112,155,1
008426.jpg,139,118,156,216,1
008438.jpg,203,89,231,320,1
008488.jpg,149,66,83,115,1
008539.jpg,213,66,174,241,1
008601.jpg,82,33,406,562,1
008639.jpg,1,33,127,161,1
008708.jpg,145,49,112,155,1
008812.jpg,201,114,226,313,1
008880.jpg,159,62,122,169,1
008886.jpg,65,23,104,144,1
008899.jpg,126,1,523,724,1
008921.jpg,51,1,211,292,1
008931.jpg,171,93,88,122,1
008968.jpg,70,82,164,227,1
009102.jpg,168,80,169,234,1
009138.jpg,76,111,278,385,1
009195.jpg,59,20,104,144,1
009238.jpg,704,290,530,734,1
009253.jpg,723,1,182,252,1
009287.jpg,98,49,187,259,1
009295.jpg,2158,689,1024,1418,1
009327.jpg,4,55,109,151,1
009355.jpg,150,18,135,187,1
009376.jpg,614,99,224,310,1
009391.jpg,95,81,164,227,1
009482.jpg,100,63,86,119,1
009593.jpg,182,92,179,248,1
009613.jpg,567,186,398,551,1
009664.jpg,168,56,125,173,1
009722.jpg,37,28,166,230,1
009740.jpg,112,119,198,274,1
009750.jpg,94,86,166,230,1
009781.jpg,320,68,104,144,1
009782.jpg,69,127,263,364,1
009883.jpg,76,63,153,212,1
009920.jpg,224,157,216,299,1
009934.jpg,58,27,99,155,1
009979.jpg,181,78,140,194,1
009997.jpg,42,54,99,137,1
010066.jpg,59,46,78,108,1
010102.jpg,76,55,177,245,1
010124.jpg,76,64,289,400,1
010130.jpg,138,98,107,148,1
010187.jpg,163,95,88,122,1
010242.jpg,150,57,101,140,1
010312.jpg,485,55,107,148,1
010345.jpg,96,110,211,292,1
010447.jpg,37,40,70,97,1
010475.jpg,114,84,169,234,1
010485.jpg,19,102,200,277,1
010509.jpg,84,35,88,122,1
010512.jpg,126,55,85,148,1
010530.jpg,149,108,221,306,1
010539.jpg,67,68,203,281,1
010561.jpg,156,55,68,94,1
010562.jpg,73,44,94,130,1
010713.jpg,291,57,148,205,1
010791.jpg,1079,91,606,839,1
010825.jpg,104,63,221,306,1
010852.jpg,83,52,263,364,1
010925.jpg,90,52,239,331,1
010941.jpg,130,43,200,277,1
011027.jpg,105,39,138,191,1
011088.jpg,317,311,361,500,1
011094.jpg,292,56,226,313,1
011108.jpg,115,166,195,270,1
011127.jpg,79,55,117,162,1
011252.jpg,119,51,91,126,1
011262.jpg,112,92,140,194,1
011297.jpg,72,15,218,302,1
011300.jpg,198,40,109,151,1
011316.jpg,100,149,260,314,1
011326.jpg,124,91,130,180,1
011514.jpg,146,59,179,248,1
011529.jpg,56,30,88,122,1
011543.jpg,281,160,366,516,1
011548.jpg,29,92,325,450,1
011628.jpg,97,142,172,238,1
011662.jpg,35,48,174,241,1
011728.jpg,79,78,70,97,1
011770.jpg,162,54,75,104,1
011816.jpg,57,75,151,209,1
011916.jpg,169,33,179,245,1
011946.jpg,37,75,122,169,1
011969.jpg,169,95,174,241,1
011981.jpg,49,52,177,245,1
012046.jpg,136,96,233,328,1
012055.jpg,117,21,224,310,1
012066.jpg,221,36,73,101,1
012102.jpg,84,119,166,230,1
012295.jpg,18,60,68,94,1
012298.jpg,39,77,190,263,1
012354.jpg,67,76,120,166,1
012365.jpg,27,32,88,122,1
012369.jpg,202,46,153,212,1
012408.jpg,71,47,120,166,1
012542.jpg,98,83,120,166,1
012605.jpg,312,236,720,997,1
012653.jpg,124,12,91,126,1
012764.jpg,100,111,195,270,1
012830.jpg,55,101,179,248,1
012878.jpg,696,114,390,540,1
012886.jpg,87,9,75,104,1
012915.jpg,130,26,104,144,1
012930.jpg,219,24,91,126,1
013022.jpg,53,57,229,317,1
013037.jpg,156,44,104,144,1
013041.jpg,122,86,177,245,1
013077.jpg,184,3,81,112,1
013085.jpg,150,42,169,234,1
013091.jpg,272,130,434,601,1
013318.jpg,181,33,195,270,1
013351.jpg,81,102,208,288,1
013392.jpg,119,50,65,90,1
013419.jpg,254,154,377,522,1
013420.jpg,237,104,81,112,1
013503.jpg,116,141,299,414,1
013529.jpg,36,24,31,43,1
013606.jpg,4,32,177,204,1
013726.jpg,177,100,174,241,1
013788.jpg,141,23,96,133,1
013839.jpg,92,74,182,252,1
013953.jpg,166,85,218,302,1
014027.jpg,122,55,164,227,1
014043.jpg,28,50,88,122,1
014062.jpg,1033,762,642,889,1
014065.jpg,434,300,468,648,1
014092.jpg,226,45,101,140,1
014098.jpg,339,175,270,374,1
014139.jpg,182,62,728,1008,1
014157.jpg,225,78,68,94,1
014269.jpg,75,47,107,148,1
014275.jpg,91,66,159,220,1
014279.jpg,147,31,153,212,1
014306.jpg,161,35,125,173,1
014325.jpg,105,45,75,104,1
014368.jpg,194,145,244,338,1
014390.jpg,215,111,104,144,1
014403.jpg,14,31,143,188,1
014466.jpg,71,83,200,277,1
014541.jpg,328,35,112,155,1
014543.jpg,123,96,179,248,1
014577.jpg,35,74,247,342,1
014682.jpg,870,65,172,238,1
014701.jpg,95,110,166,230,1
014711.jpg,88,91,161,223,1
014731.jpg,206,19,75,104,1
014827.jpg,58,82,221,267,1
014846.jpg,88,148,294,407,1
014908.jpg,208,74,192,266,1
014925.jpg,183,223,309,428,1
014938.jpg,167,51,96,133,1
014950.jpg,93,110,146,202,1
014969.jpg,136,14,182,241,1
015112.jpg,111,31,140,194,1
015163.jpg,136,76,49,68,1
015231.jpg,42,53,94,130,1
015245.jpg,149,55,184,288,1
015267.jpg,93,26,130,180,1
015455.jpg,60,22,60,83,1
015481.jpg,118,95,185,256,1
015606.jpg,175,78,195,270,1
015696.jpg,89,123,208,288,1
015784.jpg,97,129,177,245,1
015799.jpg,58,41,60,83,1
015874.jpg,79,54,159,220,1
015882.jpg,274,42,159,220,1
015907.jpg,80,66,70,97,1
015926.jpg,84,32,120,166,1
015958.jpg,75,38,130,180,1
015965.jpg,181,142,260,360,1
015979.jpg,153,104,268,371,1
016074.jpg,82,120,195,270,1
016075.jpg,49,94,250,346,1
016092.jpg,150,88,88,122,1
016124.jpg,127,39,164,227,1
016160.jpg,287,293,634,878,1
016173.jpg,60,84,148,205,1
016177.jpg,206,89,255,353,1
016217.jpg,94,75,270,374,1
016249.jpg,119,24,133,184,1
016258.jpg,100,14,132,216,1
016359.jpg,346,241,502,695,1
016370.jpg,363,94,185,256,1
016372.jpg,80,53,158,217,1
016406.jpg,386,27,302,418,1
016410.jpg,82,85,216,299,1
016504.jpg,31,105,151,209,1
016514.jpg,59,85,151,209,1
016516.jpg,80,26,91,126,1
016537.jpg,650,227,424,587,1
016605.jpg,119,77,109,151,1
016612.jpg,128,237,341,472,1
016633.jpg,262,43,177,245,1
016646.jpg,18,13,75,104,1
016759.jpg,109,1,504,545,1
016823.jpg,109,97,224,310,1
016848.jpg,81,48,94,130,1
016875.jpg,64,127,182,252,1
017018.jpg,179,18,291,403,1
017023.jpg,136,29,62,86,1
017154.jpg,73,26,78,108,1
017157.jpg,37,37,120,166,1
017191.jpg,83,79,169,234,1
017297.jpg,164,52,96,133,1
017298.jpg,80,89,205,284,1
017324.jpg,70,37,96,133,1
017360.jpg,82,159,120,166,1
017366.jpg,54,115,291,403,1
017438.jpg,239,93,122,169,1
017468.jpg,42,8,127,176,1
017502.jpg,173,96,286,396,1
017512.jpg,188,34,112,155,1
017559.jpg,109,33,135,187,1
017645.jpg,203,50,96,133,1
017656.jpg,152,95,195,270,1
017738.jpg,114,27,70,97,1
017810.jpg,112,74,185,256,1
017966.jpg,159,101,81,112,1
017975.jpg,28,54,174,241,1
017995.jpg,74,116,270,374,1
018035.jpg,121,42,135,187,1
018060.jpg,21,51,117,162,1
018061.jpg,236,23,515,713,1
018102.jpg,116,65,211,292,1
018103.jpg,89,74,161,223,1
018224.jpg,304,132,281,389,1
018263.jpg,109,20,218,302,1
018341.jpg,1522,492,367,508,1
018412.jpg,211,93,265,367,1
018428.jpg,304,66,107,148,1
018448.jpg,38,116,627,868,1
018505.jpg,95,42,203,281,1
018536.jpg,311,111,107,148,1
018636.jpg,313,54,195,270,1
018640.jpg,510,541,710,983,1
018646.jpg,83,44,140,194,1
018648.jpg,55,12,299,388,1
018658.jpg,65,123,169,234,1
018730.jpg,138,65,146,202,1
018739.jpg,83,111,211,292,1
018802.jpg,42,36,91,126,1
018891.jpg,57,32,120,166,1
019000.jpg,19,18,138,173,1
019053.jpg,111,98,169,234,1
019082.jpg,22,42,156,216,1
019117.jpg,188,110,159,220,1
019157.jpg,110,81,91,126,1
019169.jpg,123,83,260,360,1
019252.jpg,135,102,260,367,1
019268.jpg,45,60,86,119,1
019271.jpg,155,72,148,205,1
019426.jpg,90,55,94,130,1
019484.jpg,123,60,96,133,1
019504.jpg,105,50,166,230,1
019522.jpg,28,29,148,205,1
019550.jpg,98,104,182,252,1
019560.jpg,45,39,86,119,1
019677.jpg,119,64,140,194,1
019693.jpg,29,76,135,187,1
019721.jpg,270,50,179,248,1
019743.jpg,794,89,374,518,1
019758.jpg,46,46,91,126,1
019814.jpg,64,91,231,320,1
019874.jpg,116,37,101,140,1
019895.jpg,95,99,166,230,1
019959.jpg,60,27,91,126,1
019998.jpg,802,64,130,180,1
020158.jpg,86,42,73,101,1
020254.jpg,141,89,112,155,1
020394.jpg,163,31,60,83,1
020411.jpg,143,34,120,166,1
020470.jpg,108,45,55,76,1
020542.jpg,79,57,153,212,1
020656.jpg,24,45,114,158,1
020708.jpg,139,97,81,112,1
021029.jpg,193,101,169,234,1
021102.jpg,31,149,268,348,1
021161.jpg,80,52,156,216,1
021162.jpg,496,282,463,641,1
021165.jpg,23,48,208,288,1
021185.jpg,72,67,105,155,1
021190.jpg,104,108,182,252,1
021192.jpg,55,70,151,209,1
021228.jpg,86,116,190,263,1
021264.jpg,91,109,221,306,1
021369.jpg,187,39,172,238,1
021380.jpg,364,430,874,1210,1
021462.jpg,2,21,125,169,1
021481.jpg,927,266,577,799,1
021487.jpg,602,294,595,824,1
021502.jpg,58,59,153,212,1
021508.jpg,128,51,101,140,1
021521.jpg,48,93,208,288,1
021537.jpg,85,108,250,346,1
021659.jpg,777,198,473,655,1
021675.jpg,73,55,125,173,1
021688.jpg,24,58,133,184,1
021690.jpg,223,23,289,397,1
021722.jpg,840,422,1178,1631,1
021728.jpg,102,88,172,238,1
021760.jpg,129,170,130,180,1
021796.jpg,326,211,335,464,1
021798.jpg,47,69,187,259,1
021849.jpg,202,48,117,162,1
021882.jpg,57,47,65,90,1
021920.jpg,132,89,148,205,1
021948.jpg,158,58,185,220,1
021962.jpg,132,101,143,198,1
022019.jpg,241,34,317,439,1
022079.jpg,135,75,135,187,1
022086.jpg,150,55,192,266,1
022115.jpg,83,55,151,209,1
022144.jpg,252,71,159,220,1
022156.jpg,70,72,148,205,1
022243.jpg,361,254,112,155,1
022264.jpg,47,47,179,248,1
022369.jpg,4,80,185,256,1
022370.jpg,124,114,229,317,1
022448.jpg,141,132,356,493,1
022449.jpg,489,119,125,173,1
022466.jpg,105,72,177,245,1
022523.jpg,80,79,200,277,1
022566.jpg,214,70,94,130,1
022569.jpg,319,157,416,576,1
022584.jpg,215,35,174,241,1
022589.jpg,43,61,481,612,1
022600.jpg,627,104,125,173,1
022666.jpg,151,1,156,216,1
022672.jpg,43,79,230,324,1
022697.jpg,86,72,203,281,1
022706.jpg,133,122,153,212,1
022764.jpg,139,90,242,335,1
022775.jpg,118,75,120,166,1
022871.jpg,164,93,304,421,1
022960.jpg,77,56,138,191,1
022967.jpg,69,86,260,360,1
023006.jpg,46,41,244,338,1
023013.jpg,179,77,213,295,1
023035.jpg,86,33,101,140,1
023075.jpg,184,100,120,166,1
023080.jpg,99,37,77,112,1
023137.jpg,199,60,239,331,1
023192.jpg,50,28,88,122,1
023484.jpg,160,45,122,169,1
023524.jpg,93,70,174,241,1
023648.jpg,56,71,117,162,1
023668.jpg,276,89,127,176,1
023673.jpg,176,113,96,133,1
023695.jpg,55,37,70,97,1
023719.jpg,592,642,411,569,1
023728.jpg,45,115,94,130,1
023736.jpg,127,89,156,216,1
023788.jpg,132,23,112,155,1
023824.jpg,123,66,114,158,1
023838.jpg,96,69,174,241,1
023957.jpg,59,46,112,155,1
023997.jpg,380,9,190,263,1
024030.jpg,246,87,172,238,1
024069.jpg,270,129,172,238,1
024091.jpg,112,51,127,176,1
024094.jpg,41,48,153,212,1
024111.jpg,106,61,146,202,1
024125.jpg,195,35,218,302,1
024178.jpg,87,103,325,450,1
024241.jpg,637,386,130,180,1
024276.jpg,85,84,296,443,1
024310.jpg,56,91,263,364,1
024388.jpg,39,90,133,184,1
024391.jpg,463,33,133,184,1
024408.jpg,65,35,65,90,1
024417.jpg,253,266,452,626,1
024436.jpg,178,123,265,367,1
024441.jpg,46,41,299,414,1
024473.jpg,54,92,213,295,1
024498.jpg,91,70,234,324,1
024567.jpg,160,67,109,151,1
024582.jpg,98,84,127,176,1
024596.jpg,62,39,94,130,1
024628.jpg,150,27,211,292,1
024645.jpg,175,44,125,173,1
024651.jpg,40,12,114,158,1
024675.jpg,71,26,91,126,1
024703.jpg,524,168,276,382,1
024706.jpg,115,83,203,281,1
024709.jpg,156,106,117,162,1
024775.jpg,82,85,172,238,1
024791.jpg,95,71,146,202,1
024844.jpg,92,79,112,155,1
024846.jpg,913,31,179,248,1
024858.jpg,120,126,161,223,1
024878.jpg,165,69,109,151,1
024882.jpg,149,126,99,137,1
024904.jpg,75,93,185,256,1
024916.jpg,204,80,153,212,1
024924.jpg,21,49,83,115,1
024952.jpg,105,150,169,234,1
025080.jpg,85,67,153,212,1
025101.jpg,264,71,156,216,1
025126.jpg,181,1,278,385,1
025136.jpg,1,11,112,155,1
025139.jpg,243,14,96,133,1
025233.jpg,27,44,122,164,1
025321.jpg,149,47,114,158,1
025333.jpg,730,243,666,922,1
025342.jpg,298,139,112,155,1
025343.jpg,635,311,694,961,1
025345.jpg,211,291,289,400,1
025373.jpg,787,330,577,799,1
025393.jpg,112,66,166,230,1
025413.jpg,39,71,294,407,1
025504.jpg,202,1,320,398,1
025588.jpg,67,112,96,133,1
025630.jpg,56,66,242,335,1
025642.jpg,84,80,237,328,1
025662.jpg,385,70,291,403,1
025676.jpg,149,41,242,335,1
025693.jpg,105,69,225,324,1
025703.jpg,120,68,182,252,1
025727.jpg,29,64,182,252,1
025731.jpg,109,130,429,584,1
025775.jpg,52,64,101,140,1
025808.jpg,27,56,151,209,1
025813.jpg,114,63,117,162,1
025875.jpg,67,109,247,342,1
025877.jpg,104,93,226,313,1
025988.jpg,204,37,138,191,1
025995.jpg,86,29,164,227,1
026041.jpg,71,90,192,266,1
026066.jpg,31,11,146,202,1
026154.jpg,399,99,177,245,1
026267.jpg,681,129,354,490,1
026299.jpg,153,84,177,245,1
026382.jpg,120,64,91,126,1
026391.jpg,148,1,174,241,1
026421.jpg,284,78,504,698,1
026473.jpg,93,60,148,205,1
026492.jpg,284,113,252,349,1
026566.jpg,157,28,156,216,1
026572.jpg,262,83,112,155,1
026590.jpg,76,1,226,313,1
026592.jpg,195,124,273,378,1
026630.jpg,37,63,244,338,1
026811.jpg,12,54,109,151,1
026818.jpg,79,42,125,180,1
026851.jpg,118,49,161,223,1
026898.jpg,272,74,250,346,1
026930.jpg,186,77,208,288,1
026945.jpg,296,87,187,259,1
026985.jpg,30,33,133,184,1
027002.jpg,133,58,122,169,1
027043.jpg,135,95,177,245,1
027076.jpg,101,60,101,140,1
027119.jpg,137,66,120,166,1
027132.jpg,96,47,164,227,1
027139.jpg,104,64,127,176,1
027166.jpg,121,34,81,112,1
027230.jpg,158,58,156,216,1
027238.jpg,240,239,614,850,1
027277.jpg,62,23,96,133,1
027292.jpg,412,126,200,277,1
027359.jpg,103,33,166,230,1
027415.jpg,73,113,224,310,1
027434.jpg,195,143,216,299,1
027459.jpg,208,67,133,184,1
027468.jpg,127,100,60,83,1
027470.jpg,1,8,126,149,1
027481.jpg,36,66,273,378,1
027672.jpg,189,140,213,295,1
027891.jpg,109,98,156,216,1
027966.jpg,199,48,68,94,1
027993.jpg,143,135,185,256,1
027994.jpg,165,113,211,292,1
028000.jpg,88,60,159,220,1
028014.jpg,282,140,166,230,1
028028.jpg,106,69,164,227,1
028038.jpg,141,77,146,202,1
028097.jpg,588,9,78,108,1
028126.jpg,50,32,133,184,1
028131.jpg,1,78,374,519,1
028150.jpg,54,380,1079,1494,1
028251.jpg,139,66,120,166,1
028284.jpg,171,100,143,198,1
028290.jpg,30,44,104,144,1
028445.jpg,244,25,133,184,1
028467.jpg,168,68,130,180,1
028494.jpg,65,67,174,241,1
028520.jpg,85,28,237,328,1
028612.jpg,85,81,198,274,1
028651.jpg,97,45,109,151,1
028665.jpg,3,9,299,369,1
028684.jpg,403,106,203,281,1
028730.jpg,60,62,198,274,1
028740.jpg,46,72,255,353,1
028768.jpg,74,86,88,122,1
028872.jpg,105,15,187,259,1
028876.jpg,450,68,320,443,1
028889.jpg,69,4,229,293,1
028894.jpg,84,43,86,119,1
028972.jpg,105,97,114,158,1
029005.jpg,84,36,172,238,1
029163.jpg,275,1,320,443,1
029211.jpg,143,29,91,126,1
029328.jpg,114,23,143,198,1
029337.jpg,87,59,88,122,1
029399.jpg,115,54,265,367,1
029409.jpg,208,69,159,220,1
029511.jpg,105,213,148,205,1
029623.jpg,81,52,239,331,1
029631.jpg,123,77,166,230,1
029649.jpg,212,298,892,1235,1
029670.jpg,174,217,242,335,1
029701.jpg,178,76,75,104,1
029732.jpg,205,84,94,130,1
029736.jpg,80,98,148,205,1
029738.jpg,155,135,174,241,1
029806.jpg,117,85,138,191,1
029814.jpg,112,76,122,169,1
029860.jpg,93,22,120,166,1
029926.jpg,363,169,104,144,1
029954.jpg,118,154,99,137,1
029967.jpg,99,65,146,202,1
030013.jpg,47,25,140,194,1
030048.jpg,159,22,169,234,1
030087.jpg,83,63,88,122,1
030223.jpg,218,49,94,130,1
030253.jpg,713,360,195,270,1
030263.jpg,293,110,135,187,1
030340.jpg,55,80,107,148,1
030379.jpg,281,63,104,144,1
030446.jpg,106,60,203,281,1
030448.jpg,180,46,122,169,1
030463.jpg,95,75,164,227,1
030484.jpg,83,81,174,241,1
030546.jpg,250,57,252,349,1
030560.jpg,798,124,593,821,1
030561.jpg,82,82,187,259,1
030577.jpg,250,29,161,223,1
030584.jpg,155,127,257,356,1
030644.jpg,132,97,135,187,1
030655.jpg,705,176,647,896,1
030700.jpg,209,241,315,436,1
030742.jpg,109,65,122,169,1
030774.jpg,84,253,216,299,1
030797.jpg,251,115,140,194,1
030819.jpg,80,73,135,187,1
030830.jpg,116,80,172,238,1
030922.jpg,814,159,624,864,1
030935.jpg,157,87,190,263,1
030938.jpg,302,28,91,126,1
031016.jpg,173,69,153,212,1
031020.jpg,192,87,242,335,1
031132.jpg,111,57,112,155,1
031139.jpg,22,53,159,220,1
031264.jpg,95,41,99,137,1
031272.jpg,222,44,153,212,1
031273.jpg,72,124,190,263,1
031292.jpg,205,30,101,140,1
031335.jpg,83,55,156,216,1
031417.jpg,39,35,96,133,1
031499.jpg,106,56,127,176,1
031518.jpg,73,43,101,140,1
031520.jpg,127,88,99,137,1
031605.jpg,93,52,231,320,1
031715.jpg,42,43,156,216,1
031724.jpg,21,80,247,342,1
031729.jpg,270,89,107,148,1
031738.jpg,65,55,107,148,1
031766.jpg,40,137,260,360,1
031792.jpg,91,65,120,166,1
031808.jpg,132,103,151,209,1
031842.jpg,140,1,406,562,1
032036.jpg,114,143,195,270,1
032102.jpg,261,148,312,432,1
032153.jpg,47,82,99,137,1
032164.jpg,90,90,156,216,1
032179.jpg,123,113,174,241,1
032200.jpg,104,83,190,263,1
032211.jpg,334,126,380,526,1
032274.jpg,249,118,224,310,1
032310.jpg,796,140,291,403,1
032352.jpg,84,98,174,241,1
032356.jpg,164,180,499,691,1
032400.jpg,143,10,161,223,1
032533.jpg,221,32,151,209,1
032541.jpg,86,102,140,194,1
032575.jpg,28,40,96,133,1
032626.jpg,214,113,104,144,1
032748.jpg,73,35,133,184,1
032752.jpg,127,75,88,122,1
032794.jpg,136,77,83,115,1
032867.jpg,23,46,52,72,1
032881.jpg,80,66,211,292,1
032911.jpg,43,55,125,164,1
032960.jpg,103,61,161,223,1
032966.jpg,210,102,107,148,1
033080.jpg,42,44,169,234,1
033196.jpg,236,78,88,122,1
033200.jpg,160,51,231,320,1
033237.jpg,194,46,127,176,1
033251.jpg,180,120,213,295,1
033348.jpg,48,75,286,396,1
